H,1.00794,-1.7568,80.26,82.02,0.3326,-3.7390 
He,4.0020602,1.34,0,1.34,0.00747,3.26
Li,6.941,-0.454,0.92,1.37,70.5,-1.90
Be,9.012182,7.63,0.0018,7.63,0.0076,7.79
B,9.012182,3.54,1.7,5.24,767.,5.30
C,12.011,5.551,0.001,5.551,0.0035,6.6460
N,14.00674,11.01,0.5,11.51,1.9,9.36
O,15.9994,4.232,0.0008,4.232,0.00019,5.803
F,18.9984032,4.017,0.0008,4.018,0.0096,5.654 
Ne,20.1797,2.62,0.008,2.628,0.039,4.566 
Na,22.989768,1.66,1.62,3.28,0.53,3.63
Mg,24.3050,3.631,0.08,3.71,0.063,5.375
Al,26.981539,1.495,0.0082,1.503,0.231,3.449
Si,28.0855,2.163,0.004,2.167,0.171,4.1491
P,30.97362,3.307,0.005,3.312,0.172,5.13
S,28.0855,1.0186,0.007,1.026,0.53,2.847
Cl,35.4527,11.5257,5.3,16.8,33.5,9.5770
Ar,39.948,0.458,0.225,0.683,0.675,1.909
K,39.0983,1.69,0.27,1.96,2.1,3.67
Ca,40.078,2.78,0.05,2.83,0.43,4.70
Sc,44.955910,19,4.5,23.5,27.5,12.29
Ti,47.867,-1.485,2.87,4.35,6.09,-3.438
V,50.9415,-0.0184,5.08,5.1,5.08,-0.3824 
Cr,51.9961,1.66,1.83,3.49,3.05,3.635
Mn,54.93085,-1.75,0.4,2.15,13.3,-3.73
Fe,55.845,11.22,0.4,11.62,2.56,9.45
Co,58.93320,0.779,4.8,5.6,37.18,2.49 
Ni,58.6934,13.3,5.2,18.5,4.49,10.3 
Cu,63.546,7.485,0.55,8.03,3.78,7.718
Zn,65.39,4.054,0.077,4.131,1.11,5.680
Ga,69.723,6.675,0.16,6.83,2.75,7.288
Ge,72.61,8.42,0.18,8.6,2.2,8.185
As,74.92159,5.44,0.06,5.5,4.5,6.58
Se,78.96,7.98,0.32,8.3,11.7,7.970
Br,79.904,5.8,0.1,5.9,6.9,6.795
Kr,83.80,7.67,0.01,7.68,25.,7.81
Rb,85.4678,6.32,0.5,6.8,0.38,7.09
Sr,87.62,6.19,0.06,6.25,1.28,7.02
Y,88.90585,7.55,0.15,7.7,1.28,7.75
Zr,91.224,6.44,0.02,6.46,0.185,7.16
Nb,92.90638,6.253,0.0024,6.255,1.15,7.054
Mo,95.94,5.67,0.04,5.71,2.48,6.715
Tc,98,5.8,0.5,6.3,20.,6.8
Ru,101.07,6.21,0.4,6.6,2.56,7.03
Rh,102.90550,4.34,0.3,4.6,144.8,5.88
Pd,106.42,4.39,0.093,4.48,6.9,5.91
Ag,107.8682,4.407,0.58,4.99,63.3,5.922
Cd,112.411,3.04,3.46,6.5,2520.,4.87
In,114.818,2.08,0.54,2.62,193.8,4.065
Sn,118.710,4.871,0.022,4.892,0.626,6.225
Sb,121.760,3.9,0.007,3.9,4.91,5.57
Te,127.60,4.23,0.09,4.32,4.7,5.80
I,114.818,3.5,0.31,3.81,6.15,5.28
Xe,131.29,2.96,0,,23.9,4.92
Cs,132.90543,3.69,0.21,3.9,29.0,5.42
Ba,137.327,3.23,0.15,3.38,1.1,5.07
La,138.9055,8.53,1.13,9.66,8.97,8.24
Ce,140.115,2.94,0.001,2.94,0.63,4.84
Pr,140.90765,2.64,0.015,2.66,11.5,4.58
Nd,144.24,7.43,9.2,16.6,50.5,7.69
Pm,145,20.0,1.3,21.3,168.4,12.6
Sm,150.36,0.422,39.,39.,5922.,0.80
Eu,151.965,6.57,2.5,9.2,4530.,7.22
Gd,157.25,29.3,151.,180.,49700.,6.5
Tb,158.92534,6.84,0.004,6.84,23.4,7.38
Dy,162.50,35.9,54.4,90.3,994.,16.9
Ho,164.93032,8.06,0.36,8.42,64.7,8.01
Er,167.26,7.63,1.1,8.7,159.,7.79
Tm,168.93421,6.28,0.1,6.38,100.,7.07
Yb,173.04,19.42,4,23.4,34.8,12.43
Lu,174.967,6.53,0.7,7.2,74.,7.21
Hf,178.49,7.6,2.6,10.2,104.1,7.7
Ta,180.9479,6,0.01,6.01,20.6,6.91
W,183.84,2.97,1.63,4.6,18.3,4.86
Re,186.207,10.6,0.9,11.5,89.7,9.2
Os,190.23,14.4,0.3,14.7,16,10.7
Ir,192.217,14.1,0.,14.,425.,10.6
Pt,195.08,11.58,0.13,11.71,10.3,9.60
Au,196.96654,7.32,0.43,7.75,98.65,7.63
Hg,200.59,20.24,6.6,26.8,372.3,12.692
Tl,204.3833,9.678,0.21,9.89,3.43,8.776
Pb,207.2,11.115,0.003,11.118,0.171,9.405
Bi,208.98037,9.148,0.0084,9.156,0.0338,8.532
Po,209,0,,,,
At,210,0,,,,
Rn,222,0,,12.6,,
Fr,223,0,,,,
Ra,226.025,13.,0,13.,12.8,10.0
Ac,227.028,0,,,,
Th,232.0381,13.36,0,13.36,7.37,10.31
Pa,231.03588,10.4,0.1,10.5,200.6,9.1
U,238.0289,8.903,0.005,8.908,7.57,8.417
Np,237.048,14,0.5,14.5,175.9,10.55
Pu,244,,,,,
Am,243,8.7,0.3,9.0,75.3,8.3
Cm,247,0,,,,
